Geoid 2010,Year,Med Family Income Adj,Med Gross Rent Adj,Med Household Income Adj,Poverty Perc,Unemployment
46113,2015-2019,35631.475565385190,544.80109589219700,33914.398181444805,0.4617277008504955,0.1777420096573925
46115,2015-2019,74504.199674035630,655.03322424392560,57684.260781597350,0.0989427173741518,0.0209726443768996
46117,2015-2019,92798.493283178280,818.26156814936990,75659.517173106640,0.0465890183028286,0.0051487414187643
46119,2015-2019,74360.049967729520,616.87594904525030,65877.475706201790,0.0794753086419753,0.0045454545454545
46121,2015-2019,26352.898146240652,454.70752945088040,25789.018412749116,0.5545183714001987,0.0731428571428571
46123,2015-2019,70177.588636230280,613.69617611202740,61178.831235209360,0.1949614589208498,0.0334137099552187
46125,2015-2019,79539.900075949680,700.60996962012110,62792.036036664470,0.1090730025852517,0.0209099264705882
46127,2015-2019,101175.075113598580,905.17536165746360,74595.353164788020,0.0856411602572516,0.0188632720996178
46129,2015-2019,75329.880712362520,733.46762326342480,58913.772982443550,0.0971910112359550,0.0248756218905472
46135,2015-2019,75258.865783520540,682.59125633185770,61838.104156697584,0.1111892373318333,0.0338396624472573
46137,2015-2019,41734.519748551090,610.51640317880450,39641.169234179320,0.4251259899208063,0.2486274509803921
47001,2015-2019,65778.902745271890,794.94323330573500,53411.705883656800,0.1674133490717888,0.0607701391088966
47003,2015-2019,60374.348683103960,812.96194659399830,53436.084142811500,0.1429589868321731,0.0432098765432098
47005,2015-2019,53970.285995592960,697.43019668689820,39759.880757019640,0.1951737934483620,0.0681746282821891
47007,2015-2019,55907.827636236805,695.31034806474950,46765.980453220850,0.2324658138509042,0.1000166140554909
47009,2015-2019,74981.165614019080,835.22035712655880,60062.730935648110,0.1110475862285016,0.0440226869235966
47011,2015-2019,65991.947531797820,823.56118970474140,54406.974811755570,0.1600913519500504,0.0514596638817604
47013,2015-2019,51016.276940628850,650.79352699962840,42188.167353690890,0.2099709160167812,0.0915608838740009
47015,2015-2019,69222.596831952320,673.05193753218900,58645.612131741760,0.1584101794266924,0.0379444278458320
47017,2015-2019,61407.774886401414,659.27292148822290,45191.992851275490,0.1857593176339699,0.0528948037636687
47019,2015-2019,53369.308911213826,669.87216459896600,40374.636857442740,0.2209276804331126,0.0466823374159759
47021,2015-2019,76312.430548728410,1047.20521934142150,65623.093871543960,0.1056533360229966,0.0396661710393783
47023,2015-2019,63450.249033841620,722.86838015268170,55058.828263066280,0.1583835341365461,0.0759527643585614
47025,2015-2019,52079.381024636390,669.87216459896600,39042.311998422330,0.2242926155969634,0.0740542196354725
47027,2015-2019,46202.100719729315,507.70374500459600,34094.585314327436,0.2607601642166600,0.0419806243272335
47029,2015-2019,46645.149081758376,684.71110495400640,38916.181005404480,0.2347947468877304,0.0859077165768371
47031,2015-2019,65493.783105592890,781.16421726176880,53368.248986902750,0.1396496377143905,0.0452801227935533
47033,2015-2019,59527.469158555585,771.62489846210010,47396.635418310070,0.1782863601045419,0.0490883590462833
47035,2015-2019,60126.326394312570,737.70732050772210,48712.001488353290,0.1378409501057009,0.0541422048271363
47037,2015-2019,77249.403639718100,1168.03659080389320,64006.709297155634,0.1487982826175071,0.0412538884900694
47039,2015-2019,56271.381674935290,562.81980918046030,44549.678718764460,0.1759622937941869,0.0931715343480049
47041,2015-2019,60854.494396020620,682.59125633185770,48238.215321303070,0.1839768738385298,0.0504799146818343
47043,2015-2019,67745.062342314730,828.86081126011300,56256.542734580250,0.1356817701630716,0.0321227326944433
47045,2015-2019,59119.398298791970,720.74853153053300,46832.755684818534,0.1855557377945437,0.0635861433997007
47047,2015-2019,77286.500990605700,783.28406588391750,64349.064849632630,0.1347413684077399,0.0632440476190476
47049,2015-2019,46785.059090820185,557.52018762508870,38708.435840433920,0.2055543037404236,0.0703238598810310
47051,2015-2019,63934.634444002580,718.62868290838450,54676.195586768450,0.1441733319833957,0.0384959242703129
47053,2015-2019,58228.001953178480,720.74853153053300,45757.992433389176,0.1583201399883343,0.0608902575587905
47055,2015-2019,65393.090296040835,699.55004530904680,52587.084769640980,0.1475762383218755,0.0571088637715645
47057,2015-2019,55258.094033548250,679.41148339863480,46704.504843178540,0.1809769086385263,0.0529592032177743
47059,2015-2019,56058.336888409360,657.15307286607420,45147.476030210375,0.1666516786570743,0.0476174586225307
47061,2015-2019,53433.964294189354,666.69239166574300,42943.893387486874,0.2268363303870771,0.0857246640029059
47063,2015-2019,57823.110866348085,779.04436863962030,46232.838524750470,0.1730680092703588,0.0727694579202699
47065,2015-2019,79501.742800751020,920.01430201250400,58370.031810862434,0.1283426124197002,0.0489967361065475
47067,2015-2019,46420.445127810630,449.40790789550886,31941.879038535502,0.2857142857142857,0.0884551495016611
47069,2015-2019,51481.583713190470,688.95080219830370,42719.189433539126,0.1779601734831880,0.1184196125642990
47071,2015-2019,53368.248986902750,627.47519215599350,43119.840823125210,0.2009662218350295,0.0636704119850187
47073,2015-2019,55046.109171333390,676.23171046541190,44436.266817479510,0.1908604082806210,0.0663312368972746
47075,2015-2019,54186.510555052120,690.01072650937800,40176.431011271845,0.1880395994014043,0.0678030784887419
47077,2015-2019,60309.693300128430,686.83095357615500,45900.022291073140,0.1883289124668435,0.0679675872333388
47079,2015-2019,55902.528014681430,681.53133202078350,42929.054447131835,0.2011979823455233,0.0471769323671497
47081,2015-2019,55789.116113396480,750.42641224061380,46208.460265595760,0.1873043478260869,0.0401190133410116
47083,2015-2019,57924.863600211220,680.47140770970920,45270.427250295000,0.1675970565846232,0.0592705167173252
47085,2015-2019,59552.907342021370,710.14928841978990,48403.563513830670,0.1562099871959026,0.0752688172043010
47087,2015-2019,52498.051127510735,580.83852246872370,37316.755219993350,0.1919244887257472,0.0714439423283839
47089,2015-2019,63167.249242784776,721.80845584160740,52083.620721880680,0.1323786238211666,0.0540777666999003
47091,2015-2019,45290.565812205410,577.65874953550080,38161.514895919570,0.2485630348703538,0.0418065815983881
47093,2015-2019,80975.037593144310,945.45248547828760,60913.850157440786,0.1454228724172486,0.0426166481723641
47095,2015-2019,47527.006108572205,550.10071744756860,37299.796431016160,0.2856832500543124,0.0876132930513595
47097,2015-2019,47580.002324125926,688.95080219830370,42286.740314620800,0.2115467843850082,0.0802246289610910
47099,2015-2019,56621.156697589820,700.60996962012110,46227.538903195100,0.1695073764934184,0.0806301624637601
47101,2015-2019,54756.749834410100,614.75610042310170,39510.798543917175,0.1947060320692288,0.0263209974272709
47103,2015-2019,63814.862996851180,726.04815308590460,52450.354533512390,0.1474476184766643,0.0400203601196157
47105,2015-2019,72947.170861067470,850.05929748159930,61544.505122530000,0.1127138091289507,0.0469063209942536
47107,2015-2019,58218.462634378800,735.58747188557340,45878.823804851650,0.1927530890539832,0.0602176115589621
47109,2015-2019,52849.945998787410,661.39277011037150,41507.695945981184,0.1883738332480012,0.1114358442537946
47111,2015-2019,55854.831420683090,713.32906135301290,39672.966963511550,0.1729522184300341,0.0315183628722821
