county_fips,ngo_count,food_ngo_count,matched_filer_count,total_revenue,total_assets,filer_coverage_rate,population,avg_food_desert_pct,avg_housing_burden,dac_tract_pct,avg_dac_score,poverty_rate,med_household_income,unemployment,ngo_per_10k,food_ngo_per_10k,revenue_per_capita,assets_per_capita,need_score,capacity_score,gap_score,food_capacity_score,food_gap_score,need_component_count,capacity_component_count
01071,307,7,12,1038407.0,1819103.0,0.03908794788273615,40928.0,0.3817191164972635,31.174956020328384,0.0,16.570294389855352,16.0,44271.97854926299,0.0513214934974129,75.00977326035965,1.7103205629397968,25.37155492572322,44.44641810007818,0.20678267673514028,-0.9758227074648372,1.1826053841999775,-0.2786126338218091,0.4853953105569494,3,3
01073,9501,73,369,144102565.0,276550324.0,0.038838017050836754,659680.0,0.8462875939849624,29.63811302449672,0.4601226993865031,19.016415298505336,16.0,57130.98029121656,0.0647253458284396,144.02437545476596,1.106597138006306,218.4431315183119,419.21890007276255,0.5965554919806134,0.4771223668314739,0.11943312514913951,-0.6863927627207295,1.2829482547013429,3,3
01075,90,1,2,305290.0,222056.0,0.022222222222222223,13885.0,0.0,33.15311487216421,0.0,17.956570096435,16.4,40662.936270054954,0.0884755779593255,64.81814908174289,0.7202016564638098,21.987036370183652,15.992509902772776,-0.0369638632264353,-1.3220983732478802,1.2851345100214449,-1.0142965575040483,0.977332694277613,3,3
01077,1325,4,32,5791554.0,7275371.0,0.024150943396226414,84440.0,0.4737091425864519,25.252730933207012,0.1111111111111111,15.492461444623402,13.6,50975.99981680801,0.0471381267738883,156.9161534817622,0.4737091425864519,68.5878019895784,86.16024396020843,-0.27178707142622033,-0.055220019667016486,-0.21656705175920385,-1.2645689772758568,0.9927819058496365,3,3
01079,245,2,6,2673332.0,6787085.0,0.024489795918367346,33058.0,0.3301772642023111,24.575400810696355,0.0,16.50091212937867,14.2,47575.762626881624,0.0526756489305016,74.11216649525078,0.6049972775122512,80.86792909431908,205.30839736221188,-0.43969208223360895,-0.4038684002576998,-0.03582368197590913,-1.126470707026578,0.686778624792969,3,3
01081,1286,19,36,5589424.0,7160685.0,0.027993779160186624,143627.0,0.8493249876415995,30.95754628308048,0.0,15.605194053256003,17.9,54546.884820817395,0.0517317911451001,89.53748250677101,1.3228710479227443,38.91624833770809,49.8561203673404,0.8117175050961872,-0.7216431444806454,1.5333606495768326,-0.5282440742565638,1.339961579352751,3,3
01083,498,5,19,2419510.0,3254375.0,0.03815261044176707,94727.0,0.22623961489332503,24.38865898846158,0.125,16.611797508566724,8.6,63262.64243078146,0.0624204411322239,52.57212832666505,0.5278326137215367,25.541925744507903,34.35530524560051,-0.9065147594202106,-1.2928450503056885,0.3863302908854779,-1.2062035185515319,0.2996887591313212,3,3
01085,144,3,5,10468106.0,2541700.0,0.034722222222222224,10079.0,0.5166187121738268,43.14180970334358,0.75,20.710119602440717,29.4,31835.88660742807,0.0990281061203047,142.87131659886893,2.976485762476436,1038.6056156364718,252.17779541621192,2.040878662633263,0.7322290038066016,1.3086496588266616,0.34170214806740395,1.6991765145658593,3,3
01087,393,7,8,1564183.0,5262357.0,0.020356234096692113,18708.0,0.6732413940560188,32.309049604447296,0.3333333333333333,18.630927895499255,28.8,35369.67426054984,0.1133425379691226,210.07055805003208,3.741714774428052,83.61038058584563,281.2891276459269,1.383654275246146,0.4557978729193617,0.9278564023267843,0.6265094955637935,0.7571447796823525,3,3
01089,3513,23,130,24701970.0,39133102.0,0.03700540848277825,362276.0,0.8084719937285385,27.103522728527423,0.1095890410958904,15.472857396653382,10.5,69370.98623550273,0.0501374511404149,96.97026576422397,0.6348750676279964,68.18549945345538,108.02013382062295,0.036051003798768515,-0.3736547362341945,0.409705740032963,-1.0966237225798916,1.13267472637866,3,3
01091,211,4,7,1150087.0,1099623.0,0.03317535545023697,19321.0,0.5988302882873557,28.509171367941615,0.3333333333333333,19.11282512959992,23.5,35232.944024421246,0.0797012898845892,109.20759795041664,2.0702862170695098,59.525231613270535,56.91335852181564,0.7035351377871971,-0.4468897787367189,1.150424916523916,-0.07681432951297294,0.7803494673001701,3,3
01093,184,1,5,268414.0,289409.0,0.02717391304347826,29866.0,0.0,26.634936047679634,0.0,16.82982587326726,19.0,38083.080496900075,0.0545672118069405,61.60851804727784,0.33482890243085783,8.987276501707628,9.690249782361214,-0.3539541534022559,-1.6527703729605783,1.2988162195583224,-1.4247393112588134,1.0707851578565575,3,3
01095,519,8,24,4883813.0,5291601.0,0.046242774566473986,95643.0,0.4410882134604728,27.843792018234485,0.0,17.4527256819945,16.5,48738.499596130154,0.0427189682966147,54.26429534832659,0.8364438589337432,51.06294240038476,55.32658950472068,0.0584589891211535,-1.013752358158424,1.0722113472795776,-0.9084819733477426,0.9669409624688962,3,3
01097,4042,30,113,94315458.0,79013826.0,0.027956457199406235,414114.0,0.7048976851784774,32.85986081127419,0.25217391304347825,17.691915157191016,16.3,50434.37849384905,0.0583185396623265,97.60597323442336,0.7244381981773135,227.75240151262696,190.8021124617859,0.6970054328486398,0.030272471183994575,0.6667329616646452,-1.0103160773955582,1.7073215102441979,3,3
01099,205,1,5,2679245.0,5527884.0,0.024390243902439025,21270.0,0.21316408086506816,27.956652562294313,0.42857142857142855,20.245136198542546,19.1,32265.155953413167,0.154312047399605,96.37987776210626,0.4701457451810061,125.96356370474847,259.8911142454161,-0.021228948006104937,-0.0540503940696127,0.03282144606350776,-1.268486537191666,1.247257589185561,3,3
01101,3417,31,118,76110297.0,135533216.0,0.03453321627158326,226941.0,0.907046324815701,31.854986097708217,0.36923076923076925,17.414485767269905,18.3,53127.64616828888,0.0658362001997558,150.56776871521674,1.3659938045571316,335.3748198871072,597.2178495732371,0.9638588951029803,0.6846831088395632,0.2791757862634171,-0.4984782016031687,1.462337096706149,3,3
